ICD-10,Bezeichnung,age,value
046,Schistosomiasis [Bilharziosis],15-19,1.0
040,Mumps,15-19,0.0
044,leishmaniasis,15-19,0.0
010,Brucellosis,15-19,0.0
002,Typhus abdominalis und Paratyphus,15-19,0.0
108,Consequences of malnutrition and other nutritional deficiencies,15-19,0.0
055,sequelae of poliomyelitis,15-19,0.0
294,Prenatal screening and other monitoring of pregnancy,15-19,0.0
047,Infestation by other trematodes (flukes),15-19,0.0
013,Other tetanus,15-19,0.0
025,relapsing fever,15-19,0.0
051,Filariose,15-19,1.0
001,Cholera,15-19,0.0
011,leprosy,15-19,0.0
106,Vitamin-A-Mangel,15-19,0.0
201,Osteoarthritis,20-24,64.0
295,live births by place of birth,20-24,0.0
242,Other complications during pregnancy and childbirth,20-24,3469.0
274,Fractures of other parts of the extremities,20-24,1518.0
169,Pneumonia,20-24,154.0
270,Other symptoms and abnormal clinical and laboratory findings not elsewhere classified,20-24,700.0
288,"Certain early complications of trauma and complications of surgery and medical treatment, not elsewhere classified",20-24,613.0
116,mood disorders,20-24,1660.0
206,Other diseases of the spine and back,20-24,114.0
239,Other care of the mother with regard to the fetus and the amniotic cavity and possible delivery complications,20-24,1298.0
281,Other injuries to specified and unspecified and multiple body regions,20-24,752.0
207,Diseases of the quail tissue,20-24,386.0
278,intracranial injury,20-24,790.0
151,heart failure,20-24,14.0
273,Fracture of the Femur,20-24,83.0
154,Stroke,20-24,50.0
148,Other ischemic heart diseases,20-24,5.0
147,Acute myocardial infarction,20-24,9.0
150,conduction disorders and cardiac arrhythmias,20-24,103.0
195,Cholelithiasis and Chelezystitis,20-24,306.0
203,Other diseases of the joints,20-24,1639.0
119,Other mental and behavioral disorders,20-24,1571.0
113,Mental and behavioral disorders caused by alcohol,20-24,499.0
115,"Schizophrenia, schizotypal and delusional disorders",20-24,1296.0
272,"Fracture of the neck, thorax or pelvis",20-24,206.0
213,Tubulointerstitial kidney disease,20-24,450.0
117,"Neurotic, stress and somatoform disorders",20-24,1255.0
192,Other diseases of the intestine and peritoneum,20-24,299.0
096,Other in situ and benign neoplasms and neoplasms with uncertain or unknown behavior,20-24,184.0
205,Cervical and other disc damage,20-24,152.0
276,"Dislocation, sprain and strain of specified and multiple body regions",20-24,1582.0
084,"Malignant neoplasm of other, imprecisely specified, secondary and unspecified localizations as well as at several localizations",20-24,70.0
217,Other diseases of the urinary system,20-24,70.0
186,Diseases of the Appendix,20-24,1165.0
179,Other diseases of the respiratory system,20-24,227.0
152,Other heart diseases,20-24,128.0
017,Sepsis,20-24,59.0
187,inguinal hernia,20-24,152.0
191,Darmes diverticulosis,20-24,18.0
073,Malignant neoplasm of the mammary gland,20-24,9.0
215,Urolithiasis,20-24,217.0
188,Other Hrnia,20-24,94.0
253,Other conditions originating in the perinatal period,20-24,0.0
202,Acquired deformities of the extremities,20-24,228.0
175,"Bronchitis, emphysema and other chronic obstructive pulmonary diseases",20-24,11.0
249,Other neonatal respiratory diseases originating in the perinatal period,20-24,0.0
067,"Malignant neoplasm of the trachea, bronchi and lungs",20-24,3.0
129,Other diseases of the nervous system,20-24,169.0
246,intrauterine deficiency development. fetal malnutrition and disorders associated with short gestation and low birth weight,20-24,0.0
079,Malignant neoplasm of the urinary bladder,20-24,11.0
198,Skin and subcutaneous infections,20-24,735.0
157,atherosclerosis,20-24,2.0
218,Prostatahyperplasie,20-24,0.0
077,Malignant neoplasm of the prostate,20-24,0.0
124,epilepsy,20-24,308.0
208,Changes in crook density and structure,20-24,154.0
190,Paralytic ileus and mechanical ileus without hernia,20-24,77.0
104,Mellitus diabetes,20-24,105.0
172,Other diseases of the nose and paranasal sinuses,20-24,857.0
114,Mental and behavioral disorders caused by other psychotropic substances,20-24,820.0
197,Other diseases of the digestive system,20-24,56.0
199,Other skin and subcutaneous diseases,20-24,172.0
210,Other diseases of the musculoskeletal system and connective tissue,20-24,244.0
018,Other bacterial diseases,20-24,46.0
006,Other infectious intestinal diseases,20-24,181.0
153,intracranial hemorrhage,20-24,25.0
149,pulmonary embolism,20-24,35.0
111,Other endocrine. Nutritional and metabolic disorders,20-24,134.0
170,Acute bronchitis and acute bronchiolitis,20-24,14.0
061,Malignant neoplasm of the colon,20-24,14.0
160,"Other diseases of the arteries, arterioles and capillaries",20-24,21.0
092,Leiomyom des Uterus,20-24,16.0
126,Cerebral Transient Ischemic Attacks and Related Syndromes,20-24,8.0
142,Other diseases of the ear and mastoid process,20-24,46.0
173,Chronic diseases of the tonsils and pharyngeal tonsils,20-24,577.0
164,Other diseases of the circulatory system,20-24,81.0
185,"Other diseases of the esophagus, stomach and duodenum",20-24,76.0
196,Acute pancreatitis and other diseases of the pancreas,20-24,72.0
214,renal insufficiency,20-24,31.0
297,People who use the health service for the purpose of specific measures and medical care,20-24,112.0
086,Non-Hodgkin's Lymphoma,20-24,62.0
243,Spontaneous birth of an individual,20-24,225.0
109,obesity,20-24,253.0
064,Malignant neoplasm of the pancreas,20-24,1.0
244,Complications occurring predominantly in the puerperium and other conditions during the gestational period not elsewhere classified,20-24,274.0
227,endometriosis,20-24,201.0
267,abdominal and pelvic pain,20-24,244.0
233,Other diseases of the genitourinary system,20-24,79.0
062,"Malignant neoplasm of the rectosigmoid, rectum, anus and anal canal",20-24,2.0
005,"Diarrhea and gastroenteritis, presumably of infectious origin",20-24,122.0
298,People who use the healthcare system for other reasons,20-24,25.0
240,birth impediment,20-24,178.0
271,Fracture of the skull and facial bones,20-24,217.0
139,Other diseases of the eye and adnexa,20-24,21.0
228,Female genital prolapse,20-24,1.0
127,"Diseases of nerves, nerve roots and nerve plexus",20-24,107.0
168,Flu,20-24,44.0
200,Chronic polyarthritis and other inflammatory polyarthropathies,20-24,25.0
058,"Malignant neoplasm of the lip, oral cavity and pharynx",20-24,6.0
121,Primary Parkinson's Syndrome,20-24,0.0
087,leukemia,20-24,78.0
156,Other cerebrovascular diseases,20-24,39.0
167,Other acute upper respiratory tract infections,20-24,66.0
241,postpartum hemorrhage,20-24,171.0
279,Injury to other internal organs,20-24,116.0
183,Ulcer ventriculi and Ulcus duodeni,20-24,24.0
145,Essential (primary) hypertension,20-24,4.0
093,Benign neoplasm of the ovary,20-24,133.0
063,Malignant neoplasm of the liver and intrahepatic bile ducts,20-24,2.0
229,"Non-inflammatory diseases of the ovary, uterine tube and ligament latum",20-24,263.0
080,Other malignant neoplasms of the urinary organs,20-24,5.0
171,Chronic sinusitis,20-24,163.0
076,Other malignant neoplasms of the female genital organs,20-24,19.0
174,Other diseases of the upper respiratory tract,20-24,188.0
134,Retinal detachment and retinal tear,20-24,19.0
082,Malignant neoplasm of the brain,20-24,35.0
162,Varicose veins of the lower extremities,20-24,22.0
194,Other diseases of the liver,20-24,38.0
112,dementia,20-24,0.0
128,Cerebral palsy and other paralytic syndromes,20-24,64.0
060,Malignant neoplasm of the stomach,20-24,9.0
268,Fever of unknown cause,20-24,25.0
088,"Other malignant neoplasms of the lymphatic, haematopoietic and related tissues",20-24,3.0
176,Bronchial asthma,20-24,90.0
222,Other diseases of the male genital organs,20-24,90.0
256,Congenital malformations of the circulatory system,20-24,56.0
184,gastritis and duodenitis,20-24,74.0
041,Other viral diseases,20-24,129.0
237,"Edema, proteinuria and hypertension during pregnancy, labor and the puerperium",20-24,105.0
284,"Poisoning by medicinal products, drugs and biologically active substances",20-24,212.0
193,Alcoholic Liver Disease,20-24,2.0
238,"Placenta previa, placental abruption and prepartum hemorrhage",20-24,87.0
216,Zystitis,20-24,15.0
236,Other pregnancy with abortive outcome,20-24,143.0
099,Hemorrhagic diathesis and other diseases of the blood and blood-forming organs,20-24,37.0
072,Malignant neoplasms of mesothelial tissue and soft tissue,20-24,45.0
122,Alzheimer's disease,20-24,0.0
103,Other diseases of the thyroid,20-24,19.0
182,"Other diseases of the oral cavity, salivary glands and jaws",20-24,85.0
133,Cataract and other affections of the lens,20-24,2.0
204,Systemic diseases of the connective tissue,20-24,24.0
146,Other hypertensive diseases,20-24,3.0
287,Other and unspecified damage caused by external causes,20-24,115.0
189,Crohn's disease and ulcerative colitis,20-24,130.0
135,glaucoma,20-24,2.0
071,Other malignant neoplasms of the skin,20-24,0.0
098,Other anemias,20-24,53.0
097,iron deficiency anemia,20-24,5.0
125,Migraine and other headache syndromes,20-24,101.0
057,Other infectious and parasitic diseases,20-24,27.0
140,Otitis media and other diseases of the middle ear and the mastoid process,20-24,73.0
223,diseases of the mammary glands,20-24,162.0
065,Other malignant neoplasms of the digestive organs,20-24,2.0
075,Malignant neoplasm of other and unspecified parts of the uterus,20-24,0.0
123,Multiple Sclerosis,20-24,36.0
261,Other malformations of the urogenital system,20-24,38.0
159,Arterial embolism and thrombosis,20-24,0.0
209,Osteomyelitis,20-24,9.0
059,Malignant neoplasm of the esophagus,20-24,0.0
220,hydrocele and spermatocele,20-24,43.0
248,Intrauterine hypoxia and asphyxia during childbirth,20-24,0.0
219,Other diseases of the prostate,20-24,4.0
070,Malignant melanoma of the skin,20-24,2.0
290,People who use the healthcare system for examination and clarification,20-24,21.0
264,Other congenital malformations and deformities of the musculoskeletal system,20-24,75.0
165,Acute pharyngitis and acute tonsillitis,20-24,203.0
102,Hyperthyroidism (Thyrotoxicosis),20-24,39.0
296,Postpartum care and examination,20-24,52.0
265,Other congenital malformations,20-24,91.0
181,Other diseases of the teeth and periodontium,20-24,121.0
078,Other malignant neoplasms of the male genital organs,20-24,66.0
283,burns and chemical burns,20-24,42.0
161,"Phlebitis, thrombophlebitis, venous embolism and thrombosis",20-24,20.0
120,Inflammatory diseases of the central nervous system,20-24,28.0
230,menstrual disorders,20-24,9.0
282,Consequences of entering a foreign body through a natural orifice,20-24,27.0
034,Varicella [chicken pox] and zoster,20-24,9.0
155,"Stroke, not referred to as hemorrhage or infarction",20-24,2.0
226,Other inflammatory diseases of the female pelvic organs,20-24,65.0
247,birth trauma,20-24,0.0
235,Medically induced abortion,20-24,74.0
259,Other congenital malformations of the digestive system,20-24,7.0
999,unknown,20-24,11.0
105,malnutrition,20-24,9.0
118,intellectual disability,20-24,100.0
069,Malignant neoplasm of bone and articular cartilage,20-24,45.0
110,Volumenmangel,20-24,5.0
285,Toxic effects of mainly non-medically used substances,20-24,49.0
030,Virusenzephalitis,20-24,14.0
091,Benign neoplasm of the mammary gland,20-24,74.0
132,Keratitis and other diseases of the sclera and cornea,20-24,18.0
280,Crushing and traumatic amputations of specified and multiple body regions,20-24,44.0
251,Other infections specific to the perinatal period,20-24,0.0
074,Malignant neoplasm of the cervix uteri,20-24,0.0
066,Malignant neoplasms of the larynx,20-24,0.0
234,Spontaneous abortion,20-24,34.0
085,Hodgkin's disease [lymphogranulomatosis],20-24,37.0
292,Other people with potential health risks related to communicable diseases,20-24,8.0
224,salpingitis and oophoritis,20-24,41.0
263,Congenital deformities of the feet,20-24,4.0
042,Mykosen,20-24,3.0
094,Benign neoplasm of the hamstrings,20-24,3.0
068,Other malignant neoplasms of the respiratory and intrathoracic organs,20-24,8.0
100,Certain disorders involving the immune system,20-24,17.0
262,Congenital deformities of the hip,20-24,32.0
252,Hemolytic disease in the fetus and newborn,20-24,0.0
257,lip-. Cleft jaw and palate,20-24,9.0
141,hearing loss,20-24,16.0
245,Damage to the fetus and newborn from maternal factors and from complications of pregnancy. labor and delivery,20-24,0.0
260,Nondescensus testis,20-24,4.0
033,Infections caused by herpes viruses [Herpes simplexl,20-24,24.0
255,Other congenital malformations of the nervous system,20-24,3.0
212,Other glomerular diseases,20-24,7.0
095,Benign neoplasm of the brain and other parts of the central nervous system,20-24,15.0
136,Strabismus,20-24,5.0
081,Malignant neoplasm of the eye and the ocular appendages,20-24,2.0
089,Carcinoma in situ der Cervix uteri,20-24,2.0
277,Injury to the eye and orbit,20-24,8.0
232,female sterility,20-24,4.0
007,tuberculosis of the respiratory organs,20-24,22.0
231,climacteric disorders,20-24,0.0
221,"Foreskin hypertrophy, phimosis and paraphimosis",20-24,7.0
269,Senilität,20-24,0.0
107,Other vitamin deficiencies,20-24,2.0
177,bronchiectasis,20-24,2.0
166,Acute laryngitis and tracheitis,20-24,1.0
144,Chronic rheumatic heart disease,20-24,0.0
250,Congenital infectious and parasitic diseases,20-24,0.0
090,Benign neoplasm of the skin,20-24,1.0
038,Other viral hepatitis,20-24,2.0
083,Malignant neoplasm of other parts of the central nervous system,20-24,0.0
008,Other tuberculosis,20-24,5.0
048,Echinococci,20-24,3.0
130,inflammation of the eyelid,20-24,2.0
039,HIV disease [Human Immunodeficiency Virus Disease],20-24,0.0
023,Sexually Transmitted Chlamydia Diseases,20-24,27.0
158,Other peripheral vascular diseases,20-24,3.0
266,Chromosomal abnormalities not classified elsewhere,20-24,2.0
043,Malaria,20-24,3.0
211,Acute and rapidly progressive nephritic syndromes,20-24,2.0
024,Other infections primarily transmitted through sexual intercourse,20-24,14.0
022,Gonococcal infection,20-24,10.0
178,Pneumokoniosis,20-24,0.0
016,Meningococcal Infection,20-24,2.0
021,Other syphilis,20-24,0.0
180,dental caries,20-24,0.0
131,Conjunctivitis and other affections of the conjunctiva,20-24,0.0
258,"Absence, atresia and stenosis of the small intestine",20-24,0.0
254,Spina bifida,20-24,0.0
032,Other arthropod-borne viral diseases and viral haemorrhagic fevers,20-24,0.0
293,contraceptive measures,20-24,1.0
053,Other helminths,20-24,1.0
138,blindness and poor eyesight,20-24,0.0
225,Inflammatory disease of the cervix,20-24,1.0
015,whooping cough,20-24,0.0
003,Shigellosis [Bacterial dysentery],20-24,0.0
037,Acute viral hepatitis B,20-24,0.0
004,Amoebiasis [amoebic dysentery],20-24,0.0
275,Fractures involving multiple body regions,20-24,0.0
137,accommodation disorders and refractive errors,20-24,0.0
020,Frühsyphilis,20-24,1.0
143,Acute rheumatic fever,20-24,0.0
101,Thyroid diseases caused by iodine deficiency,20-24,0.0
035,measles,20-24,1.0
289,"Consequences of injuries, poisoning and other effects of external causes",20-24,0.0
046,Schistosomiasis [Bilharziosis],20-24,0.0
040,Mumps,20-24,0.0
044,leishmaniasis,20-24,0.0
010,Brucellosis,20-24,0.0
002,Typhus abdominalis und Paratyphus,20-24,0.0
108,Consequences of malnutrition and other nutritional deficiencies,20-24,0.0
055,sequelae of poliomyelitis,20-24,0.0
294,Prenatal screening and other monitoring of pregnancy,20-24,0.0
047,Infestation by other trematodes (flukes),20-24,0.0
013,Other tetanus,20-24,0.0
025,relapsing fever,20-24,0.0
051,Filariose,20-24,0.0
001,Cholera,20-24,0.0
011,leprosy,20-24,0.0
106,Vitamin-A-Mangel,20-24,0.0
201,Osteoarthritis,25-29,106.0
295,live births by place of birth,25-29,0.0
242,Other complications during pregnancy and childbirth,25-29,12846.0
274,Fractures of other parts of the extremities,25-29,1721.0
169,Pneumonia,25-29,245.0
270,Other symptoms and abnormal clinical and laboratory findings not elsewhere classified,25-29,734.0
288,"Certain early complications of trauma and complications of surgery and medical treatment, not elsewhere classified",25-29,744.0
116,mood disorders,25-29,1806.0
206,Other diseases of the spine and back,25-29,224.0
239,Other care of the mother with regard to the fetus and the amniotic cavity and possible delivery complications,25-29,5736.0
281,Other injuries to specified and unspecified and multiple body regions,25-29,882.0
207,Diseases of the quail tissue,25-29,435.0
278,intracranial injury,25-29,667.0
151,heart failure,25-29,17.0
273,Fracture of the Femur,25-29,82.0
154,Stroke,25-29,51.0
148,Other ischemic heart diseases,25-29,9.0
147,Acute myocardial infarction,25-29,13.0
150,conduction disorders and cardiac arrhythmias,25-29,135.0
195,Cholelithiasis and Chelezystitis,25-29,650.0
203,Other diseases of the joints,25-29,1557.0
119,Other mental and behavioral disorders,25-29,1273.0
113,Mental and behavioral disorders caused by alcohol,25-29,852.0
115,"Schizophrenia, schizotypal and delusional disorders",25-29,1720.0
272,"Fracture of the neck, thorax or pelvis",25-29,271.0
213,Tubulointerstitial kidney disease,25-29,552.0
117,"Neurotic, stress and somatoform disorders",25-29,1149.0
192,Other diseases of the intestine and peritoneum,25-29,498.0
096,Other in situ and benign neoplasms and neoplasms with uncertain or unknown behavior,25-29,241.0
205,Cervical and other disc damage,25-29,373.0
276,"Dislocation, sprain and strain of specified and multiple body regions",25-29,1594.0
084,"Malignant neoplasm of other, imprecisely specified, secondary and unspecified localizations as well as at several localizations",25-29,135.0
217,Other diseases of the urinary system,25-29,106.0
186,Diseases of the Appendix,25-29,1133.0
179,Other diseases of the respiratory system,25-29,196.0
152,Other heart diseases,25-29,121.0
017,Sepsis,25-29,54.0
187,inguinal hernia,25-29,211.0
191,Darmes diverticulosis,25-29,50.0
073,Malignant neoplasm of the mammary gland,25-29,37.0
215,Urolithiasis,25-29,461.0
188,Other Hrnia,25-29,244.0
253,Other conditions originating in the perinatal period,25-29,0.0
202,Acquired deformities of the extremities,25-29,288.0
175,"Bronchitis, emphysema and other chronic obstructive pulmonary diseases",25-29,11.0
249,Other neonatal respiratory diseases originating in the perinatal period,25-29,0.0
067,"Malignant neoplasm of the trachea, bronchi and lungs",25-29,8.0
129,Other diseases of the nervous system,25-29,211.0
246,intrauterine deficiency development. fetal malnutrition and disorders associated with short gestation and low birth weight,25-29,0.0
079,Malignant neoplasm of the urinary bladder,25-29,4.0
198,Skin and subcutaneous infections,25-29,595.0
157,atherosclerosis,25-29,5.0
218,Prostatahyperplasie,25-29,0.0
077,Malignant neoplasm of the prostate,25-29,0.0
124,epilepsy,25-29,285.0
208,Changes in crook density and structure,25-29,143.0
190,Paralytic ileus and mechanical ileus without hernia,25-29,112.0
104,Mellitus diabetes,25-29,116.0
172,Other diseases of the nose and paranasal sinuses,25-29,833.0
114,Mental and behavioral disorders caused by other psychotropic substances,25-29,934.0
197,Other diseases of the digestive system,25-29,105.0
199,Other skin and subcutaneous diseases,25-29,212.0
210,Other diseases of the musculoskeletal system and connective tissue,25-29,223.0
018,Other bacterial diseases,25-29,78.0
006,Other infectious intestinal diseases,25-29,151.0
153,intracranial hemorrhage,25-29,17.0
149,pulmonary embolism,25-29,47.0
111,Other endocrine. Nutritional and metabolic disorders,25-29,132.0
170,Acute bronchitis and acute bronchiolitis,25-29,23.0
061,Malignant neoplasm of the colon,25-29,33.0
160,"Other diseases of the arteries, arterioles and capillaries",25-29,28.0
092,Leiomyom des Uterus,25-29,94.0
126,Cerebral Transient Ischemic Attacks and Related Syndromes,25-29,11.0
142,Other diseases of the ear and mastoid process,25-29,78.0
173,Chronic diseases of the tonsils and pharyngeal tonsils,25-29,368.0
164,Other diseases of the circulatory system,25-29,94.0
185,"Other diseases of the esophagus, stomach and duodenum",25-29,100.0
196,Acute pancreatitis and other diseases of the pancreas,25-29,134.0
214,renal insufficiency,25-29,48.0
297,People who use the health service for the purpose of specific measures and medical care,25-29,161.0
086,Non-Hodgkin's Lymphoma,25-29,40.0
243,Spontaneous birth of an individual,25-29,1077.0
109,obesity,25-29,405.0
064,Malignant neoplasm of the pancreas,25-29,1.0
244,Complications occurring predominantly in the puerperium and other conditions during the gestational period not elsewhere classified,25-29,926.0
227,endometriosis,25-29,486.0
267,abdominal and pelvic pain,25-29,276.0
233,Other diseases of the genitourinary system,25-29,135.0
062,"Malignant neoplasm of the rectosigmoid, rectum, anus and anal canal",25-29,5.0
005,"Diarrhea and gastroenteritis, presumably of infectious origin",25-29,113.0
298,People who use the healthcare system for other reasons,25-29,20.0
240,birth impediment,25-29,864.0
271,Fracture of the skull and facial bones,25-29,219.0
139,Other diseases of the eye and adnexa,25-29,48.0
228,Female genital prolapse,25-29,7.0
127,"Diseases of nerves, nerve roots and nerve plexus",25-29,100.0
168,Flu,25-29,83.0
200,Chronic polyarthritis and other inflammatory polyarthropathies,25-29,28.0
058,"Malignant neoplasm of the lip, oral cavity and pharynx",25-29,15.0
121,Primary Parkinson's Syndrome,25-29,0.0
087,leukemia,25-29,68.0
156,Other cerebrovascular diseases,25-29,32.0
167,Other acute upper respiratory tract infections,25-29,71.0
241,postpartum hemorrhage,25-29,708.0
279,Injury to other internal organs,25-29,120.0
183,Ulcer ventriculi and Ulcus duodeni,25-29,42.0
145,Essential (primary) hypertension,25-29,7.0
093,Benign neoplasm of the ovary,25-29,151.0
063,Malignant neoplasm of the liver and intrahepatic bile ducts,25-29,5.0
229,"Non-inflammatory diseases of the ovary, uterine tube and ligament latum",25-29,278.0
080,Other malignant neoplasms of the urinary organs,25-29,12.0
171,Chronic sinusitis,25-29,178.0
076,Other malignant neoplasms of the female genital organs,25-29,32.0
174,Other diseases of the upper respiratory tract,25-29,172.0
134,Retinal detachment and retinal tear,25-29,18.0
082,Malignant neoplasm of the brain,25-29,45.0
162,Varicose veins of the lower extremities,25-29,44.0
194,Other diseases of the liver,25-29,24.0
112,dementia,25-29,0.0
128,Cerebral palsy and other paralytic syndromes,25-29,72.0
060,Malignant neoplasm of the stomach,25-29,9.0
268,Fever of unknown cause,25-29,46.0
088,"Other malignant neoplasms of the lymphatic, haematopoietic and related tissues",25-29,10.0
176,Bronchial asthma,25-29,65.0
222,Other diseases of the male genital organs,25-29,87.0
256,Congenital malformations of the circulatory system,25-29,54.0
184,gastritis and duodenitis,25-29,71.0
041,Other viral diseases,25-29,81.0
237,"Edema, proteinuria and hypertension during pregnancy, labor and the puerperium",25-29,429.0
284,"Poisoning by medicinal products, drugs and biologically active substances",25-29,183.0
193,Alcoholic Liver Disease,25-29,7.0
238,"Placenta previa, placental abruption and prepartum hemorrhage",25-29,377.0
216,Zystitis,25-29,11.0
236,Other pregnancy with abortive outcome,25-29,398.0
099,Hemorrhagic diathesis and other diseases of the blood and blood-forming organs,25-29,47.0
072,Malignant neoplasms of mesothelial tissue and soft tissue,25-29,38.0
122,Alzheimer's disease,25-29,0.0
103,Other diseases of the thyroid,25-29,49.0
182,"Other diseases of the oral cavity, salivary glands and jaws",25-29,80.0
133,Cataract and other affections of the lens,25-29,6.0
204,Systemic diseases of the connective tissue,25-29,41.0
146,Other hypertensive diseases,25-29,4.0
287,Other and unspecified damage caused by external causes,25-29,101.0
189,Crohn's disease and ulcerative colitis,25-29,172.0
135,glaucoma,25-29,2.0
071,Other malignant neoplasms of the skin,25-29,2.0
098,Other anemias,25-29,54.0
097,iron deficiency anemia,25-29,8.0
125,Migraine and other headache syndromes,25-29,112.0
057,Other infectious and parasitic diseases,25-29,29.0
140,Otitis media and other diseases of the middle ear and the mastoid process,25-29,96.0
223,diseases of the mammary glands,25-29,125.0
065,Other malignant neoplasms of the digestive organs,25-29,3.0
075,Malignant neoplasm of other and unspecified parts of the uterus,25-29,2.0
123,Multiple Sclerosis,25-29,67.0
261,Other malformations of the urogenital system,25-29,32.0
159,Arterial embolism and thrombosis,25-29,3.0
209,Osteomyelitis,25-29,21.0
059,Malignant neoplasm of the esophagus,25-29,0.0
220,hydrocele and spermatocele,25-29,36.0
248,Intrauterine hypoxia and asphyxia during childbirth,25-29,0.0
219,Other diseases of the prostate,25-29,8.0
070,Malignant melanoma of the skin,25-29,16.0
290,People who use the healthcare system for examination and clarification,25-29,27.0
264,Other congenital malformations and deformities of the musculoskeletal system,25-29,47.0
165,Acute pharyngitis and acute tonsillitis,25-29,139.0
102,Hyperthyroidism (Thyrotoxicosis),25-29,48.0
296,Postpartum care and examination,25-29,239.0
265,Other congenital malformations,25-29,65.0
181,Other diseases of the teeth and periodontium,25-29,49.0
078,Other malignant neoplasms of the male genital organs,25-29,193.0
283,burns and chemical burns,25-29,84.0
161,"Phlebitis, thrombophlebitis, venous embolism and thrombosis",25-29,21.0
120,Inflammatory diseases of the central nervous system,25-29,38.0
230,menstrual disorders,25-29,24.0
282,Consequences of entering a foreign body through a natural orifice,25-29,50.0
034,Varicella [chicken pox] and zoster,25-29,20.0
155,"Stroke, not referred to as hemorrhage or infarction",25-29,7.0
226,Other inflammatory diseases of the female pelvic organs,25-29,120.0
247,birth trauma,25-29,0.0
235,Medically induced abortion,25-29,160.0
259,Other congenital malformations of the digestive system,25-29,8.0
999,unknown,25-29,21.0
105,malnutrition,25-29,7.0
118,intellectual disability,25-29,108.0
069,Malignant neoplasm of bone and articular cartilage,25-29,39.0
110,Volumenmangel,25-29,2.0
285,Toxic effects of mainly non-medically used substances,25-29,44.0
030,Virusenzephalitis,25-29,27.0
091,Benign neoplasm of the mammary gland,25-29,62.0
132,Keratitis and other diseases of the sclera and cornea,25-29,16.0
280,Crushing and traumatic amputations of specified and multiple body regions,25-29,38.0
251,Other infections specific to the perinatal period,25-29,0.0
074,Malignant neoplasm of the cervix uteri,25-29,9.0
066,Malignant neoplasms of the larynx,25-29,0.0
234,Spontaneous abortion,25-29,120.0
085,Hodgkin's disease [lymphogranulomatosis],25-29,52.0
292,Other people with potential health risks related to communicable diseases,25-29,7.0
224,salpingitis and oophoritis,25-29,61.0
263,Congenital deformities of the feet,25-29,9.0
042,Mykosen,25-29,5.0
094,Benign neoplasm of the hamstrings,25-29,8.0
068,Other malignant neoplasms of the respiratory and intrathoracic organs,25-29,9.0
100,Certain disorders involving the immune system,25-29,16.0
262,Congenital deformities of the hip,25-29,35.0
252,Hemolytic disease in the fetus and newborn,25-29,0.0
257,lip-. Cleft jaw and palate,25-29,0.0
141,hearing loss,25-29,12.0
245,Damage to the fetus and newborn from maternal factors and from complications of pregnancy. labor and delivery,25-29,0.0
260,Nondescensus testis,25-29,3.0
033,Infections caused by herpes viruses [Herpes simplexl,25-29,15.0
255,Other congenital malformations of the nervous system,25-29,6.0
212,Other glomerular diseases,25-29,10.0
095,Benign neoplasm of the brain and other parts of the central nervous system,25-29,16.0
136,Strabismus,25-29,7.0
081,Malignant neoplasm of the eye and the ocular appendages,25-29,6.0
089,Carcinoma in situ der Cervix uteri,25-29,6.0
277,Injury to the eye and orbit,25-29,16.0
232,female sterility,25-29,45.0
007,tuberculosis of the respiratory organs,25-29,34.0
231,climacteric disorders,25-29,0.0
221,"Foreskin hypertrophy, phimosis and paraphimosis",25-29,4.0
269,Senilität,25-29,0.0
107,Other vitamin deficiencies,25-29,5.0
177,bronchiectasis,25-29,4.0
166,Acute laryngitis and tracheitis,25-29,4.0
144,Chronic rheumatic heart disease,25-29,0.0
250,Congenital infectious and parasitic diseases,25-29,0.0
090,Benign neoplasm of the skin,25-29,1.0
038,Other viral hepatitis,25-29,6.0
083,Malignant neoplasm of other parts of the central nervous system,25-29,0.0
008,Other tuberculosis,25-29,10.0
048,Echinococci,25-29,1.0
130,inflammation of the eyelid,25-29,1.0
039,HIV disease [Human Immunodeficiency Virus Disease],25-29,3.0
023,Sexually Transmitted Chlamydia Diseases,25-29,19.0
158,Other peripheral vascular diseases,25-29,1.0
266,Chromosomal abnormalities not classified elsewhere,25-29,0.0
043,Malaria,25-29,3.0
211,Acute and rapidly progressive nephritic syndromes,25-29,4.0
024,Other infections primarily transmitted through sexual intercourse,25-29,9.0
022,Gonococcal infection,25-29,4.0
178,Pneumokoniosis,25-29,0.0
016,Meningococcal Infection,25-29,0.0
021,Other syphilis,25-29,1.0
180,dental caries,25-29,1.0
131,Conjunctivitis and other affections of the conjunctiva,25-29,3.0
258,"Absence, atresia and stenosis of the small intestine",25-29,0.0
254,Spina bifida,25-29,1.0
032,Other arthropod-borne viral diseases and viral haemorrhagic fevers,25-29,1.0
293,contraceptive measures,25-29,0.0
053,Other helminths,25-29,2.0
138,blindness and poor eyesight,25-29,1.0
225,Inflammatory disease of the cervix,25-29,4.0
015,whooping cough,25-29,0.0
003,Shigellosis [Bacterial dysentery],25-29,1.0
037,Acute viral hepatitis B,25-29,2.0
004,Amoebiasis [amoebic dysentery],25-29,3.0
275,Fractures involving multiple body regions,25-29,0.0
137,accommodation disorders and refractive errors,25-29,0.0
020,Frühsyphilis,25-29,3.0
143,Acute rheumatic fever,25-29,0.0
101,Thyroid diseases caused by iodine deficiency,25-29,1.0
035,measles,25-29,0.0
289,"Consequences of injuries, poisoning and other effects of external causes",25-29,0.0
