Region of residence,Geographic MedStat region,Number of deliveries,Number of cesarean sections,Cesarean section rate (%),Average age deliveries,Average age cesarean sections,year
VS23,Nendaz,73,20,27.397260274,30.671232877,32.15,2017
VS24,Forclaz-Vallée du Trient,71,20,28.169014085,30.676056338,30.6,2017
VS25,Charrat-Riddes,125,30,24.0,30.408,32.033333333,2017
VS26,Fully-Leytron,135,41,30.37037037,31.614814815,31.902439024,2017
VS27,Martigny,193,49,25.388601036,30.155440415,30.734693878,2017
VS28,Entremont,73,19,26.02739726,30.397260274,30.842105263,2017
VS29,Bagnes,65,21,32.307692308,31.353846154,33.333333333,2017
VS30,Collombey-Muraz,101,32,31.683168317,30.475247525,32.625,2017
VS31,St-Maurice,71,20,28.169014085,31.014084507,33.1,2017
VS32,Monthey,171,49,28.65497076,30.649122807,32.040816327,2017
VS33,Val d'Illiez,60,10,16.666666667,30.916666667,31.0,2017
VS34,Bas-Chablais Valaisan,89,34,38.202247191,31.269662921,32.382352941,2017
NE01,Neuchâtel,356,85,23.876404494,31.598314607,33.164705882,2017
NE02,Peseux-Corcelles,108,25,23.148148148,32.009259259,33.16,2017
NE03,Colombier-Gorges de l'Areuse,75,26,34.666666667,32.026666667,32.923076923,2017
NE04,Boudry-Areuse,135,32,23.703703704,30.977777778,32.625,2017
NE05,Bevaix-Béroche,65,20,30.769230769,32.138461538,32.45,2017
NE06,Seyon-Vue des Alpes,94,16,17.021276596,31.191489362,33.375,2017
NE07,Val de Ruz-Col des Pontins,70,20,28.571428571,30.342857143,30.05,2017
NE08,Marin-St-Blaise,85,25,29.411764706,31.235294118,32.84,2017
NE09,Canal de Thielle,72,13,18.055555556,31.180555556,32.615384615,2017
NE10,Sagne-Martel-Brévine,31,9,29.032258065,30.548387097,30.555555556,2017
NE11,Le Locle,104,27,25.961538462,29.961538462,29.888888889,2017
NE12,La Chaux-de-Fonds,410,98,23.902439024,29.846341463,31.163265306,2017
NE13,Bas Val de Travers,58,14,24.137931034,29.120689655,31.0,2017
NE14,Haut Val de Travers,43,14,32.558139535,29.046511628,31.785714286,2017
GE01,Genève-Cornavin,263,70,26.615969582,32.494296578,33.842857143,2017
GE02,Genève-Servette-Nations,380,112,29.473684211,32.805263158,33.633928571,2017
GE03,Genève-Charmilles,416,143,34.375,32.221153846,32.671328671,2017
GE04,Genève-Cité,52,15,28.846153846,33.673076923,33.2,2017
GE05,Genève-Plainpalais,474,142,29.957805907,32.778481013,33.169014085,2017
GE06,Genève-Champel,215,79,36.744186047,34.074418605,35.772151899,2017
GE07,Genève-Eaux-Vives,266,90,33.834586466,33.5,34.866666667,2017
GE08,Genève-Malagnou,190,70,36.842105263,33.147368421,34.657142857,2017
GE09,Genève-Petit-Saconnex,112,33,29.464285714,31.928571429,33.151515152,2017
GE10,Grand-Lancy,177,53,29.943502825,31.480225989,33.113207547,2017
GE11,Onex-Lancy,357,113,31.652661064,31.736694678,32.132743363,2017
GE12,Vernier Village,116,32,27.586206897,30.620689655,30.46875,2017
GE13,Cointrin-Avanchets,101,27,26.732673267,31.207920792,30.444444444,2017
GE14,Meyrin,273,89,32.600732601,31.230769231,32.505617978,2017
GE15,Le Grand-Saconnex,118,37,31.355932203,33.152542373,35.243243243,2017
GE16,Châtelaine-Aïre-Lignon,216,63,29.166666667,31.162037037,32.857142857,2017
GE17,Cologny-Vésenaz,122,53,43.442622951,33.459016393,34.018867925,2017
GE18,Chêne-Conches,127,42,33.070866142,32.803149606,32.785714286,2017
GE19,Chêne-Bourg,109,29,26.605504587,31.587155963,33.724137931,2017
GE20,Thônex,110,35,31.818181818,32.254545455,34.485714286,2017
GE21,Carouge,358,127,35.474860335,32.01396648,33.763779528,2017
GE22,Plan-Perly,130,42,32.307692308,32.784615385,33.19047619,2017
GE23,Bernex-Confignon,116,36,31.034482759,32.870689655,33.194444444,2017
GE24,Veyrier-Troinex,115,43,37.391304348,32.982608696,33.069767442,2017
GE25,Mandement-Vallée du Rhône,129,35,27.131782946,32.651162791,33.714285714,2017
GE26,Léman Rive Droite,86,29,33.720930233,32.174418605,32.310344828,2017
GE27,Vandoeuvres-Campagne,103,38,36.893203883,32.281553398,32.868421053,2017
GE28,Collonge-Hermance,81,29,35.802469136,32.24691358,33.310344828,2017
GE29,Versoix-Céligny,150,46,30.666666667,31.953333333,33.869565217,2017
JU01,Les Franches-Montagnes,107,24,22.429906542,31.186915888,31.916666667,2017
JU02,Delémont,133,33,24.812030075,29.902255639,31.0,2017
JU03,La Sorne,105,26,24.761904762,30.304761905,31.5,2017
JU04,Val Terbi,127,37,29.133858268,30.433070866,31.756756757,2017
JU05,Clos-du-Doubs-Courgenay,59,8,13.559322034,31.644067797,34.5,2017
JU06,Porrentruy,50,15,30.0,30.64,30.266666667,2017
JU07,Basse-Allaine-Damvant,37,8,21.621621622,29.918918919,30.75,2017
JU08,Haute-Allaine-Bonfol,48,10,20.833333333,30.958333333,32.8,2017
9999,Unbekannt,1695,561,33.097345133,32.372861357,33.22459893,2017
ZH01,Zürich-City,196,70,35.714285714,33.714285714,34.728571429,2018
ZH02,Zürich-Sihlfeld,274,81,29.562043796,32.98540146,33.283950617,2018
ZH03,Zürich-Aussersihl,285,104,36.49122807,33.224561404,34.230769231,2018
ZH04,Zürich-Industriequartier,182,67,36.813186813,33.587912088,33.76119403,2018
ZH05,Zürich-Universität,212,76,35.849056604,34.679245283,35.381578947,2018
ZH06,Zürich-Riesbach,208,90,43.269230769,34.504807692,35.866666667,2018
ZH07,Zürich-Hottingen,223,80,35.874439462,35.0,36.1125,2018
ZH08,Zürich-Wipkingen,247,93,37.651821862,34.16194332,34.52688172,2018
ZH09,Zürich-Wollishofen,220,79,35.909090909,33.736363636,34.594936709,2018
ZH10,Zürich-Leimbach-Albisgütli,238,85,35.714285714,32.932773109,34.741176471,2018
ZH11,Zürich-Zürichberg,203,78,38.42364532,34.807881773,35.871794872,2018
ZH12,Zürich-Affoltern,304,102,33.552631579,32.315789474,33.666666667,2018
ZH13,Zürich-Albisrieden,273,106,38.827838828,33.351648352,34.509433962,2018
ZH14,Zürich-Altstetten,379,152,40.105540897,31.683377309,32.539473684,2018
ZH15,Zürich-Höngg,269,97,36.059479554,34.464684015,35.577319588,2018
ZH16,Zürich-Oerlikon,355,111,31.267605634,33.121126761,34.198198198,2018
ZH17,Zürich-Schwamendingen,266,96,36.090225564,31.357142857,32.083333333,2018
ZH18,Zürich-Seebach,243,108,44.444444444,31.296296296,32.675925926,2018
ZH19,Zürich-Wiedikon,230,91,39.565217391,33.686956522,34.406593407,2018
ZH20,Zürich-Milchbrugg,256,90,35.15625,33.1953125,34.2,2018
ZH21,Regensdorf,210,75,35.714285714,31.180952381,32.52,2018
ZH22,Maur-Fällanden,150,67,44.666666667,32.78,33.268656716,2018
ZH23,Glattbrugg,366,136,37.158469945,31.546448087,32.625,2018
ZH24,Kloten,210,77,36.666666667,31.333333333,32.428571429,2018
ZH25,Bassersdorf-Nürensdorf,136,54,39.705882353,31.213235294,32.12962963,2018
ZH26,Dietlikon-Wangen-Brüttisellen,157,63,40.127388535,31.668789809,33.111111111,2018
ZH27,Dübendorf,294,102,34.693877551,31.639455782,32.921568627,2018
ZH28,Volketswil,236,81,34.322033898,32.173728814,32.901234568,2018
ZH29,Engstringen-Weiningen,138,56,40.579710145,32.123188406,33.625,2018
ZH30,Birmensdorf,119,44,36.974789916,33.226890756,33.590909091,2018
ZH31,Urdorf,85,31,36.470588235,32.729411765,33.35483871,2018
ZH32,Fahrweid-Oetwil,107,35,32.710280374,31.065420561,31.571428571,2018
ZH33,Schlieren,224,84,37.5,31.294642857,32.178571429,2018
ZH34,Dietikon,352,127,36.079545455,30.741477273,32.125984252,2018
ZH35,Bonstetten-Reppischtal,147,68,46.258503401,33.578231293,34.191176471,2018
ZH36,Affoltern am Albis,185,78,42.162162162,31.854054054,31.833333333,2018
ZH37,Obfelden,88,26,29.545454545,31.159090909,31.461538462,2018
ZH38,Knonaueramt,146,39,26.712328767,33.650684932,35.256410256,2018
ZH39,Adliswil,219,88,40.182648402,32.803652968,33.863636364,2018
ZH40,Langnau am Albis,78,34,43.58974359,32.102564103,34.176470588,2018
ZH41,Thalwil,202,83,41.089108911,33.618811881,34.626506024,2018
ZH42,Kilchberg-Rüschlikon,190,99,52.105263158,34.857894737,36.070707071,2018
ZH43,Wädenswil,211,76,36.018957346,32.55450237,33.473684211,2018
ZH44,Richterswil,125,37,29.6,32.768,35.621621622,2018
ZH45,Horgen,191,72,37.696335079,32.392670157,33.041666667,2018
ZH46,Hirzel,38,17,44.736842105,31.5,31.588235294,2018
ZH47,Zollikon,139,64,46.043165468,34.964028777,34.84375,2018
ZH48,Zumikon-Forch,56,23,41.071428571,33.035714286,34.434782609,2018
ZH49,Egg bei Zürich,63,30,47.619047619,31.825396825,32.566666667,2018
ZH50,Oetwil-Hombrechtikon,139,42,30.215827338,31.899280576,33.69047619,2018
ZH51,Küsnacht,127,57,44.881889764,34.448818898,35.701754386,2018
ZH52,Herrliberg-Erlenbach,90,47,52.222222222,35.211111111,35.957446809,2018
ZH53,Meilen,137,54,39.416058394,34.211678832,34.851851852,2018
ZH54,Männedorf-Uetikon,140,37,26.428571429,33.464285714,34.783783784,2018
ZH55,Stäfa,123,43,34.959349593,33.056910569,34.046511628,2018
ZH56,Fehraltorf,104,37,35.576923077,31.336538462,31.837837838,2018
ZH57,Wila-Tösstal,84,19,22.619047619,31.30952381,32.947368421,2018
ZH58,Pfäffikon ZH,103,33,32.038834951,32.058252427,31.909090909,2018
ZH59,Bäretswil-Hittnau,98,26,26.530612245,32.551020408,32.346153846,2018
ZH60,Hinwil,120,41,34.166666667,31.275,32.463414634,2018
ZH61,Wald-Tösstal,140,42,30.0,30.164285714,30.880952381,2018
ZH62,Greifensee,81,29,35.802469136,32.580246914,34.344827586,2018
ZH63,Wetzikon,273,87,31.868131868,31.062271062,31.770114943,2018
ZH64,Bubikon-Dürnten,133,42,31.578947368,31.721804511,31.428571429,2018
ZH65,Uster,308,89,28.896103896,32.730519481,33.539325843,2018
ZH66,Mönchaltorf-Gossau-Grüningen,159,56,35.220125786,31.339622642,31.625,2018
ZH67,Rüti,107,27,25.23364486,31.23364486,30.888888889,2018
ZH68,Effretikon-Kemptthal,155,62,40.0,30.793548387,31.629032258,2018
ZH69,Illnau-Weisslingen,74,33,44.594594595,31.608108108,33.303030303,2018
ZH70,Lindau-Brütten,55,13,23.636363636,31.036363636,32.615384615,2018
ZH71,Elgg-Elsau,94,23,24.468085106,31.755319149,33.260869565,2018
ZH72,Winterthur-Zentrum,441,123,27.891156463,32.088435374,32.918699187,2018
ZH73,Winterthur-Oberwinterthur,253,76,30.039525692,31.454545455,32.223684211,2018
ZH74,Winterthur-Seen,190,55,28.947368421,31.073684211,31.8,2018
ZH75,Winterthur-Töss,150,41,27.333333333,31.086666667,32.926829268,2018
ZH76,Winterthur-Wülflingen,196,63,32.142857143,31.265306122,31.365079365,2018
ZH77,Neftenbach,99,38,38.383838384,31.808080808,32.289473684,2018
ZH78,Seuzach,89,33,37.078651685,32.494382022,33.909090909,2018
ZH79,Wiesendangen-Ellikon,103,27,26.213592233,33.067961165,33.703703704,2018
ZH80,Untertösstal,107,28,26.168224299,30.663551402,32.785714286,2018
ZH81,Feuerthalen-Uhwiesen,61,19,31.147540984,32.37704918,33.684210526,2018
ZH82,Südweinland,85,26,30.588235294,32.058823529,34.038461538,2018
ZH83,Nordweinland,54,14,25.925925926,31.5,33.285714286,2018
ZH84,Ostweinland,57,13,22.807017544,31.947368421,32.230769231,2018
ZH85,Hasli-Glatt,228,96,42.105263158,30.627192982,31.177083333,2018
ZH86,Dielsdorf-Wehntal,148,57,38.513513514,31.831081081,32.807017544,2018
ZH87,Stadel,113,35,30.973451327,31.309734513,32.371428571,2018
ZH88,Bülach,233,80,34.334763948,31.175965665,32.3875,2018
ZH89,Winkel,81,34,41.975308642,32.617283951,33.058823529,2018
ZH90,Glattfelden-Rafz,196,69,35.204081633,31.551020408,32.391304348,2018
ZH91,Embrach,176,59,33.522727273,31.113636364,31.93220339,2018
ZH92,Unterfurttal,181,63,34.806629834,32.016574586,33.047619048,2018
ZH93,Wallisellen,195,77,39.487179487,32.451282051,33.064935065,2018
BE01,Bern-Länggasse-Tiefenau,235,74,31.489361702,33.468085106,33.972972973,2018
BE02,Bern-Zentrum,112,41,36.607142857,34.241071429,35.292682927,2018
BE03,Bern-Ostring,198,59,29.797979798,33.02020202,33.0,2018
BE04,Bern-Mattenhof,225,79,35.111111111,32.715555556,34.063291139,2018
BE05,Bern-Holligen,129,41,31.782945736,32.534883721,33.634146341,2018
BE06,Bern-Lorraine,154,33,21.428571429,34.097402597,35.272727273,2018
BE07,Bern-Breitenrain-Wankdorf,176,53,30.113636364,33.392045455,33.886792453,2018
BE08,Bern-Bümpliz,188,54,28.723404255,30.728723404,31.296296296,2018
BE09,Wohlen-Frauenkappelen,72,26,36.111111111,32.236111111,33.192307692,2018
BE10,Bern-Bethlehem,164,66,40.243902439,30.774390244,31.742424242,2018
BE11,Bremgarten-Meikirch,106,45,42.452830189,33.254716981,33.088888889,2018
BE12,Ittigen,130,51,39.230769231,31.361538462,32.196078431,2018
BE13,Zollikofen,125,44,35.2,30.856,32.181818182,2018
BE14,Münchenbuchsee,92,35,38.043478261,31.347826087,31.514285714,2018
BE15,Bolligen-Worbletal,132,44,33.333333333,32.651515152,33.204545455,2018
BE16,Ostermundigen,185,66,35.675675676,30.291891892,29.681818182,2018
BE17,Muri,110,42,38.181818182,33.681818182,33.642857143,2018
BE18,Worb,92,37,40.217391304,31.391304348,31.594594595,2018
BE19,Wabern-Liebefeld,215,54,25.11627907,32.823255814,34.5,2018
BE20,Köniz,112,48,42.857142857,32.473214286,33.520833333,2018
BE21,Belp-Kehrsatz,144,56,38.888888889,31.583333333,32.446428571,2018
BE22,Wangental-Scherli,123,55,44.715447154,32.073170732,32.163636364,2018
BE23,Schönbühl,131,37,28.244274809,31.732824427,32.702702703,2018
BE24,Jegenstorf,62,26,41.935483871,32.629032258,34.076923077,2018
BE25,Ins-Grosses Moos,91,30,32.967032967,31.615384615,32.466666667,2018
BE26,Aarberg,95,22,23.157894737,31.273684211,33.272727273,2018
BE27,Kallnach-Grosses Moos,66,25,37.878787879,31.803030303,32.92,2018
BE28,Lyss,137,40,29.197080292,30.948905109,32.95,2018
BE29,Diessbach-Worben,72,15,20.833333333,31.0,33.266666667,2018
BE30,Lyssbach-Limpach,77,32,41.558441558,32.87012987,35.125,2018
BE31,Biel/Bienne-Zentrum,177,44,24.858757062,32.282485876,33.5,2018
BE32,Biel/Bienne-Madretsch,206,60,29.126213592,30.650485437,32.75,2018
BE33,Biel/Bienne-Bözingen,211,66,31.279620853,31.061611374,31.439393939,2018
BE34,Nördlicher Bielersee,36,9,25.0,34.527777778,36.222222222,2018
BE35,Orpund-Pieterlen,95,34,35.789473684,30.484210526,31.617647059,2018
BE36,Brügg-Studen,79,24,30.379746835,30.708860759,33.0,2018
BE37,Nidau-Port,120,41,34.166666667,31.966666667,32.317073171,2018
BE38,Südlicher Bielersee,107,28,26.168224299,32.14953271,31.071428571,2018
BE39,La Neuveville,58,15,25.862068966,31.448275862,31.733333333,2018
BE40,Basse Suze,68,20,29.411764706,30.632352941,30.95,2018
BE41,Tavannes-Pichoux,72,17,23.611111111,29.861111111,30.411764706,2018
BE42,Court,51,10,19.607843137,30.705882353,30.9,2018
BE43,Moutier,85,19,22.352941176,29.364705882,32.315789474,2018
BE44,Herzogenbuchsee,91,33,36.263736264,30.263736264,31.909090909,2018
BE45,Thörigen-Seeberg,49,14,28.571428571,31.408163265,32.571428571,2018
BE46,Wangen an der Aare,46,14,30.434782609,31.304347826,33.642857143,2018
BE47,Madiswil-Oeschenbach,60,25,41.666666667,32.033333333,33.28,2018
BE48,Huttwil-Dürrenroth,86,29,33.720930233,30.930232558,29.793103448,2018
BE49,Attiswil-Bipp,108,39,36.111111111,30.925925926,31.487179487,2018
BE50,Langenthal,128,44,34.375,31.3359375,32.204545455,2018
BE51,Aarwangen,83,36,43.373493976,30.409638554,31.583333333,2018
BE52,Roggwil-Murg,69,20,28.985507246,31.376811594,31.5,2018
BE53,Fraubrunnen-Bätterkinden,79,25,31.64556962,30.911392405,31.72,2018
BE54,Hindelbank,53,17,32.075471698,32.056603774,32.647058824,2018
BE55,Burgdorf,142,43,30.281690141,31.633802817,32.581395349,2018
BE56,Hasle-Oberburg,87,22,25.287356322,30.494252874,31.954545455,2018
BE57,Sumiswald,51,21,41.176470588,30.568627451,30.761904762,2018
BE58,Lützelflüh,58,16,27.586206897,31.206896552,32.3125,2018
BE59,Kirchberg,105,36,34.285714286,30.666666667,31.666666667,2018
BE60,Wynigen,47,8,17.021276596,30.382978723,31.5,2018
BE61,Utzenstorf,42,13,30.952380952,31.761904762,32.615384615,2018
BE62,Zollbrück,63,25,39.682539683,30.714285714,30.6,2018
BE63,Oberes Emmental,41,14,34.146341463,31.536585366,31.928571429,2018
BE64,Langnau i. E.,74,24,32.432432432,31.040540541,32.958333333,2018
BE65,Trub-Napf,31,7,22.580645161,30.935483871,32.428571429,2018
BE66,Grosshöchstetten,68,25,36.764705882,31.161764706,31.36,2018
BE67,Münsingen,128,41,32.03125,31.671875,32.609756098,2018
BE68,Konolfingen,89,28,31.460674157,31.505617978,31.678571429,2018
BE69,Wichtrach,60,23,38.333333333,31.7,32.086956522,2018
BE70,Gürbetal,83,26,31.325301205,32.710843373,32.153846154,2018
BE71,Seftigen-Wattenwil,66,19,28.787878788,31.939393939,31.263157895,2018
BE72,Oberdiessbach,52,15,28.846153846,30.326923077,30.733333333,2018
BE73,Schwarzenburg,89,29,32.584269663,32.078651685,33.586206897,2018
BE74,Wald-Riggisberg,48,17,35.416666667,30.9375,30.352941176,2018
BE75,Thun-Zentrum,154,46,29.87012987,32.019480519,32.369565217,2018
BE76,Thun-Westring,104,38,36.538461538,31.557692308,32.631578947,2018
BE77,Thun-Dürrenast,132,42,31.818181818,30.636363636,31.714285714,2018
BE78,Steffisburg,147,45,30.612244898,32.523809524,32.177777778,2018
BE79,Goldiwil-Schattenhalb,63,17,26.984126984,32.761904762,34.882352941,2018
BE80,Hilterfingen-Sigriswil,58,23,39.655172414,32.896551724,33.217391304,2018
BE81,Heimberg-Uetendorf,128,36,28.125,30.7265625,31.277777778,2018
BE82,Stockental,72,21,29.166666667,31.583333333,31.523809524,2018
BE83,Spiez,106,34,32.075471698,32.301886792,33.029411765,2018
BE84,Niedersimmental,85,24,28.235294118,31.176470588,30.458333333,2018
BE85,Saanenland,66,24,36.363636364,31.893939394,32.833333333,2018
BE86,Obersimmental,80,24,30.0,30.4375,31.583333333,2018
BE87,Frutigen-Adelboden,97,31,31.958762887,30.87628866,31.903225806,2018
BE88,Kandertal-Kiental,48,14,29.166666667,31.520833333,31.357142857,2018
BE89,Interlaken,147,42,28.571428571,31.346938776,32.023809524,2018
BE90,Lauterbrunnen,32,11,34.375,31.3125,32.272727273,2018
BE91,Brienzersee,83,31,37.34939759,31.385542169,32.419354839,2018
BE92,Grindelwald,38,11,28.947368421,32.263157895,33.818181818,2018
BE93,Oberhasli,66,18,27.272727273,31.409090909,32.777777778,2018
BE94,Lengnau,57,17,29.824561404,30.701754386,31.470588235,2018
BE95,Büren-Arch,76,23,30.263157895,31.302631579,31.869565217,2018
BE96,Gümmenen-Exklaven,53,17,32.075471698,32.377358491,34.352941176,2018
BE97,Laupen-Neuenegg,65,21,32.307692308,30.569230769,33.0,2018
BE98,Erguel,112,35,31.25,30.839285714,32.657142857,2018
BE99,Tramelan,48,9,18.75,30.020833333,30.777777778,2018
LU01,Luzern-Zentrum,157,56,35.668789809,32.458598726,33.0,2018
LU02,Luzern-Löwen,101,25,24.752475248,33.03960396,34.72,2018
LU03,Luzern-Allmend-Tribschen,263,66,25.095057034,32.897338403,33.893939394,2018
LU04,Luzern-Dreilinden-Seeburg,159,39,24.528301887,33.257861635,35.179487179,2018
LU05,Kriens,253,74,29.249011858,31.335968379,31.621621622,2018
LU06,Malters-Eigental,100,36,36.0,30.94,33.0,2018
LU07,Littau-Reussbühl,199,59,29.648241206,29.874371859,30.305084746,2018
LU08,Emmenbrücke,257,83,32.295719844,30.186770428,30.939759036,2018
LU09,Rothenburg-Hildisrieden,127,39,30.708661417,32.070866142,32.461538462,2018
LU10,Ebikon,145,55,37.931034483,30.917241379,31.636363636,2018
LU11,Emmen-Inwil,170,69,40.588235294,30.623529412,31.289855072,2018
LU12,Luzernes Reusstal,186,72,38.709677419,30.897849462,31.388888889,2018
LU13,Sonnseite,84,26,30.952380952,33.023809524,33.692307692,2018
LU14,Meggen,45,16,35.555555556,33.533333333,33.375,2018
LU15,Horw,96,35,36.458333333,31.427083333,31.571428571,2018
LU16,Neuenkirch,67,19,28.358208955,32.507462687,31.578947368,2018
LU17,Beromünster,107,35,32.710280374,30.570093458,31.314285714,2018
LU18,Hochdorf,118,44,37.288135593,31.033898305,31.386363636,2018
LU19,Seetal,35,15,42.857142857,31.857142857,33.266666667,2018
LU20,Nördlicher Sempachersee,76,18,23.684210526,32.368421053,34.222222222,2018
LU21,Südlicher Sempachersee,107,31,28.971962617,31.990654206,32.548387097,2018
LU22,Sursee,117,35,29.914529915,31.367521368,31.742857143,2018
LU23,Oberes Suhretal,129,36,27.906976744,30.620155039,31.111111111,2018
LU24,Lindenberg,77,23,29.87012987,32.038961039,33.217391304,2018
LU25,Ruswil-Grosswangen,127,35,27.559055118,31.488188976,32.942857143,2018
LU26,Wolhusen,96,34,35.416666667,30.34375,29.176470588,2018
LU27,Willisau,123,38,30.894308943,30.81300813,30.605263158,2018
LU28,Oberes Wiggertal,104,41,39.423076923,31.009615385,30.780487805,2018
LU29,Rottal-Luthern,56,24,42.857142857,31.589285714,32.458333333,2018
LU30,Santenberg-Wauwilermoos,97,40,41.237113402,31.206185567,32.625,2018
LU31,Unteres Entlebuch,76,25,32.894736842,31.671052632,32.56,2018
LU32,Mittleres Entlebuch - Mariental,67,18,26.865671642,30.776119403,30.222222222,2018
LU33,Oberes Entlebuch,49,16,32.653061224,31.755102041,32.375,2018
LU34,Weggis,52,17,32.692307692,31.961538462,32.588235294,2018
LU35,Luzernes Wiggertal,133,45,33.834586466,30.421052632,31.155555556,2018
LU36,Pfaffnau,45,14,31.111111111,31.911111111,31.0,2018
UR01,Seelisberg,45,11,24.444444444,32.066666667,32.636363636,2018
UR02,Altdorf,119,31,26.050420168,31.352941176,32.064516129,2018
UR03,Schattdorf-Schächental,117,16,13.675213675,30.905982906,32.125,2018
UR04,Mittleres Uri,51,12,23.529411765,29.68627451,31.916666667,2018
SZ01,Küssnacht,130,42,32.307692308,32.330769231,34.904761905,2018
SZ02,Arth-Goldau,141,42,29.787234043,30.269503546,30.666666667,2018
SZ03,Lauerz-Sattel,68,17,25.0,30.955882353,32.176470588,2018
SZ04,Schwyz,138,33,23.913043478,31.253623188,32.666666667,2018
SZ05,Muotathal,62,17,27.419354839,31.5,33.176470588,2018
SZ06,Gersau-Brunnen,89,31,34.831460674,31.550561798,31.161290323,2018
SZ07,Rotenthurm,40,10,25.0,30.4,31.5,2018
SZ08,Einsiedeln-Alpthal,121,39,32.231404959,31.768595041,33.487179487,2018
SZ09,Iberg,56,21,37.5,30.75,30.857142857,2018
SZ11,Pfäffikon-Vorderhof,124,51,41.129032258,33.258064516,34.196078431,2018
SZ12,Wollerau-Hinterhof,136,67,49.264705882,32.617647059,33.641791045,2018
SZ13,Lachen,169,64,37.869822485,32.343195266,33.328125,2018
SZ14,Wangen-Siebnen,131,53,40.458015267,30.305343511,30.377358491,2018
SZ15,Tuggen-Reichenburg,151,41,27.152317881,30.735099338,30.87804878,2018
OW01,Alpnach,79,25,31.64556962,30.455696203,31.36,2018
OW02,Sarnen,96,27,28.125,32.864583333,34.111111111,2018
OW03,Melchtal,104,29,27.884615385,31.923076923,32.586206897,2018
OW04,Giswil-Lungern,58,18,31.034482759,31.672413793,32.333333333,2018
OW05,Engelberg,22,9,40.909090909,32.909090909,35.444444444,2018
NW01,Pilatus-Bürgenstock,104,38,36.538461538,32.519230769,33.789473684,2018
NW02,Stans,115,35,30.434782609,31.852173913,31.714285714,2018
NW03,Bürgenstock-Seelisberg,138,46,33.333333333,32.130434783,33.326086957,2018
NW04,Engelbergeraatal,44,8,18.181818182,31.954545455,30.75,2018
GL01,Glarus,88,34,38.636363636,30.375,31.058823529,2018
GL02,Näfels,123,45,36.585365854,30.154471545,30.111111111,2018
GL03,Ziegelbrücke,83,34,40.963855422,30.072289157,31.117647059,2018
GL04,Schwanden-Sernftal,46,19,41.304347826,31.782608696,32.210526316,2018
GL05,Linthal,30,14,46.666666667,30.633333333,31.785714286,2018
ZG01,Zug,329,127,38.601823708,33.285714286,33.94488189,2018
ZG02,Cham,194,73,37.628865979,32.731958763,33.04109589,2018
ZG03,Menzingen,69,26,37.68115942,31.797101449,32.653846154,2018
ZG04,Steinhausen,117,54,46.153846154,32.145299145,32.277777778,2018
ZG05,Aegeri,115,38,33.043478261,31.365217391,31.921052632,2018
ZG06,Walchwil,38,11,28.947368421,32.210526316,34.181818182,2018
ZG07,Hünenberg-Rotkreuz,182,66,36.263736264,31.912087912,32.772727273,2018
ZG08,Baar,268,93,34.701492537,32.388059701,32.634408602,2018
FR01,Gibloux-Nord,102,28,27.450980392,31.68627451,32.392857143,2018
FR02,Fribourg,492,160,32.520325203,31.778455285,32.45,2018
FR03,Belfaux,106,27,25.471698113,30.566037736,32.111111111,2018
FR04,Marly,67,20,29.850746269,29.805970149,30.95,2018
FR05,Le Mouret,74,31,41.891891892,32.459459459,34.064516129,2018
FR06,Basse Glâne,133,32,24.060150376,31.120300752,30.90625,2018
FR07,Fribourg-Ouest,261,77,29.501915709,31.091954023,31.558441558,2018
FR08,Gibloux-Sud,59,12,20.338983051,31.186440678,33.583333333,2018
FR09,Bulle,322,92,28.571428571,30.257763975,31.326086957,2018
FR10,Gibloux-Lac de Gruyère,85,22,25.882352941,30.858823529,32.545454545,2018
FR11,Broc-Berra-Jaun,120,38,31.666666667,30.991666667,31.763157895,2018
FR12,Gruyères-Intyamon,102,20,19.607843137,31.294117647,31.45,2018
FR13,Obersense,83,30,36.144578313,31.542168675,32.5,2018
FR14,Tafers,77,25,32.467532468,31.363636364,31.32,2018
FR15,Untersense,93,25,26.88172043,30.774193548,30.0,2018
FR16,Düdingen,95,31,32.631578947,30.368421053,31.258064516,2018
FR17,Lac francophone,76,24,31.578947368,31.460526316,31.791666667,2018
FR19,Deutschsprachiger See,91,35,38.461538462,31.428571429,31.285714286,2018
FR20,Kerzers,86,29,33.720930233,31.453488372,31.448275862,2018
FR21,Murten,84,25,29.761904762,31.535714286,32.56,2018
FR22,Haute-Glâne,111,26,23.423423423,31.144144144,31.115384615,2018
FR23,Gibloux-Ouest,82,19,23.170731707,31.536585366,31.526315789,2018
FR24,Châtel-St-Denis,129,34,26.356589147,31.573643411,31.735294118,2018
FR25,Attalens,71,17,23.943661972,31.887323944,33.176470588,2018
FR26,Romont,71,22,30.985915493,30.492957746,30.454545455,2018
FR27,Broye-Enclaves,89,25,28.08988764,30.674157303,31.8,2018
FR28,Estavayer,125,37,29.6,30.696,31.297297297,2018
FR29,Domdidier,155,48,30.967741935,31.232258065,32.75,2018
SO01,Grenchen,167,47,28.143712575,29.652694611,30.29787234,2018
SO02,Bettlach,47,18,38.29787234,31.446808511,32.222222222,2018
SO03,Aeusseres Schwarzbubenland,57,13,22.807017544,32.50877193,34.615384615,2018
SO04,Dorneck,94,36,38.29787234,32.35106383,33.444444444,2018
SO05,Thierstein,106,32,30.188679245,30.839622642,31.59375,2018
