,hospital,city,canton_name,main_code,disease_group,number_of_cases_2014_2019
304,Flury Stiftung Spital Schiers,Schiers,Graubünden,E,Diseases of the abdominal organs,1589
305,Flury Stiftung Spital Schiers,Schiers,Graubünden,F,Vascular Diseases,1807
306,Flury Stiftung Spital Schiers,Schiers,Graubünden,G,Gynecology and obstetrics,3150
307,Flury Stiftung Spital Schiers,Schiers,Graubünden,H,Diseases of the urinary tract and male genitalia,325
308,Flury Stiftung Spital Schiers,Schiers,Graubünden,I,"Diseases of the bones, joints, connective tissues",1717
309,Flury Stiftung Spital Schiers,Schiers,Graubünden,J,Complex conditions,298
310,Flury Stiftung Spital Schiers,Schiers,Graubünden,K,Skin disorders,14
311,GZO Spital Wetzikon,Wetzikon ZH,Zürich,A,Cardiac diseases,10360
312,GZO Spital Wetzikon,Wetzikon ZH,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3519
313,GZO Spital Wetzikon,Wetzikon ZH,Zürich,C,Geriatric Medicine,397
314,GZO Spital Wetzikon,Wetzikon ZH,Zürich,D,Lung diseases,6170
315,GZO Spital Wetzikon,Wetzikon ZH,Zürich,E,Diseases of the abdominal organs,8537
316,GZO Spital Wetzikon,Wetzikon ZH,Zürich,F,Vascular Diseases,149
317,GZO Spital Wetzikon,Wetzikon ZH,Zürich,G,Gynecology and obstetrics,21952
318,GZO Spital Wetzikon,Wetzikon ZH,Zürich,H,Diseases of the urinary tract and male genitalia,3034
319,GZO Spital Wetzikon,Wetzikon ZH,Zürich,I,"Diseases of the bones, joints, connective tissues",4069
320,GZO Spital Wetzikon,Wetzikon ZH,Zürich,J,Complex conditions,5784
321,GZO Spital Wetzikon,Wetzikon ZH,Zürich,K,Skin disorders,73
322,GZO Spital Wetzikon,Wetzikon ZH,Zürich,M,Palliative Medicine,2
323,Geburtshaus Basel,Basel,Basel-stadt,G,Gynecology and obstetrics,42
324,Geburtshaus Delphys,Zürich,Zürich,A,Cardiac diseases,1
325,Geburtshaus Delphys,Zürich,Zürich,E,Diseases of the abdominal organs,1
326,Geburtshaus Delphys,Zürich,Zürich,G,Gynecology and obstetrics,2416
327,Geburtshaus Luna AG,Ostermundigen,Bern,G,Gynecology and obstetrics,2207
328,Geburtshaus St.Gallen GmbH,St. Gallen,St. Gallen,G,Gynecology and obstetrics,323
329,Geburtshaus Stans,Stans,Nidwalden,G,Gynecology and obstetrics,927
330,Geburtshaus Tagmond GmbH,Pratteln,Basel-Landschaft,G,Gynecology and obstetrics,429
331,Geburtshaus Terra Alta,Oberkirch ,Luzern,A,Cardiac diseases,2
332,Geburtshaus Terra Alta,Oberkirch ,Luzern,G,Gynecology and obstetrics,3853
333,Geburtshaus Terra Alta,Oberkirch ,Luzern,J,Complex conditions,1
334,Geburtshaus Zürcher Oberland AG,Bäretswil,Zürich,G,Gynecology and obstetrics,3954
335,Geburtshaus ambra GmbH,Wittinsburg,Basel-Landschaft,G,Gynecology and obstetrics,686
336,Geburtshus Storchenäscht AG,Othmarsingen,Aargau,G,Gynecology and obstetrics,1944
337,Genossenschaft Geburtshaus Simmental-Saaneland Maternité Alpine,Zweisimmen,Bern,G,Gynecology and obstetrics,406
338,Genossenschaft Geburtshaus Simmental-Saaneland Maternité Alpine,Zweisimmen,Bern,J,Complex conditions,1
339,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,A,Cardiac diseases,5490
340,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1884
341,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,C,Geriatric Medicine,3106
342,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,D,Lung diseases,5566
343,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,E,Diseases of the abdominal organs,5304
344,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,F,Vascular Diseases,111
345,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,G,Gynecology and obstetrics,17671
346,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,H,Diseases of the urinary tract and male genitalia,1306
347,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,I,"Diseases of the bones, joints, connective tissues",2766
348,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,J,Complex conditions,1501
349,Gesundheitszentrum Fricktal,Rheinfelden,Aargau,K,Skin disorders,69
350,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,A,Cardiac diseases,5493
351,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",4253
352,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,C,Geriatric Medicine,840
353,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,D,Lung diseases,11861
354,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,E,Diseases of the abdominal organs,4851
355,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,F,Vascular Diseases,74
356,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,G,Gynecology and obstetrics,13704
357,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,H,Diseases of the urinary tract and male genitalia,2880
358,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,I,"Diseases of the bones, joints, connective tissues",3035
359,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,J,Complex conditions,3994
360,Groupement Hospitalier de lOuest Lémanique (GHOL) SA,Nyon,Vaud,K,Skin disorders,27
361,HFR,Fribourg,Fribourg,A,Cardiac diseases,42398
362,HFR,Fribourg,Fribourg,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",14431
363,HFR,Fribourg,Fribourg,C,Geriatric Medicine,7958
364,HFR,Fribourg,Fribourg,D,Lung diseases,20199
365,HFR,Fribourg,Fribourg,E,Diseases of the abdominal organs,9698
366,HFR,Fribourg,Fribourg,F,Vascular Diseases,2874
367,HFR,Fribourg,Fribourg,G,Gynecology and obstetrics,20292
368,HFR,Fribourg,Fribourg,H,Diseases of the urinary tract and male genitalia,2562
369,HFR,Fribourg,Fribourg,I,"Diseases of the bones, joints, connective tissues",11286
370,HFR,Fribourg,Fribourg,J,Complex conditions,9894
371,HFR,Fribourg,Fribourg,K,Skin disorders,200
372,HFR,Fribourg,Fribourg,M,Palliative Medicine,1048
373,Herz­Neuro­Zentrum Bodensee AG,Kreuzlingen,Thurgau,A,Cardiac diseases,37906
374,Herz­Neuro­Zentrum Bodensee AG,Kreuzlingen,Thurgau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",357
375,Herz­Neuro­Zentrum Bodensee AG,Kreuzlingen,Thurgau,C,Geriatric Medicine,71
376,Herz­Neuro­Zentrum Bodensee AG,Kreuzlingen,Thurgau,D,Lung diseases,31
377,Herz­Neuro­Zentrum Bodensee AG,Kreuzlingen,Thurgau,E,Diseases of the abdominal organs,2
378,Herz­Neuro­Zentrum Bodensee AG,Kreuzlingen,Thurgau,F,Vascular Diseases,293
379,Herz­Neuro­Zentrum Bodensee AG,Kreuzlingen,Thurgau,I,"Diseases of the bones, joints, connective tissues",5295
380,Herz­Neuro­Zentrum Bodensee AG,Kreuzlingen,Thurgau,J,Complex conditions,653
381,Hirslanden Bern AG,Bern,Bern,A,Cardiac diseases,54735
382,Hirslanden Bern AG,Bern,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1110
383,Hirslanden Bern AG,Bern,Bern,C,Geriatric Medicine,828
384,Hirslanden Bern AG,Bern,Bern,D,Lung diseases,6392
385,Hirslanden Bern AG,Bern,Bern,E,Diseases of the abdominal organs,22350
386,Hirslanden Bern AG,Bern,Bern,F,Vascular Diseases,2895
387,Hirslanden Bern AG,Bern,Bern,G,Gynecology and obstetrics,31212
388,Hirslanden Bern AG,Bern,Bern,H,Diseases of the urinary tract and male genitalia,5908
389,Hirslanden Bern AG,Bern,Bern,I,"Diseases of the bones, joints, connective tissues",28999
390,Hirslanden Bern AG,Bern,Bern,J,Complex conditions,4316
391,Hirslanden Bern AG,Bern,Bern,K,Skin disorders,63
392,Hirslanden Bern AG,Bern,Bern,L,Highly specialized medicine,15
393,Hirslanden Bern AG,Bern,Bern,M,Palliative Medicine,1
394,Hirslanden Klinik Aarau,Aarau,Aargau,A,Cardiac diseases,31863
395,Hirslanden Klinik Aarau,Aarau,Aargau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",705
396,Hirslanden Klinik Aarau,Aarau,Aargau,C,Geriatric Medicine,662
397,Hirslanden Klinik Aarau,Aarau,Aargau,D,Lung diseases,2793
398,Hirslanden Klinik Aarau,Aarau,Aargau,E,Diseases of the abdominal organs,9281
399,Hirslanden Klinik Aarau,Aarau,Aargau,F,Vascular Diseases,6791
400,Hirslanden Klinik Aarau,Aarau,Aargau,G,Gynecology and obstetrics,24037
401,Hirslanden Klinik Aarau,Aarau,Aargau,H,Diseases of the urinary tract and male genitalia,4261
402,Hirslanden Klinik Aarau,Aarau,Aargau,I,"Diseases of the bones, joints, connective tissues",12624
403,Hirslanden Klinik Aarau,Aarau,Aargau,J,Complex conditions,3961
404,Hirslanden Klinik Aarau,Aarau,Aargau,K,Skin disorders,57
405,Hirslanden Klinik Aarau,Aarau,Aargau,M,Palliative Medicine,428
406,Hirslanden Klinik Am Rosenberg AG,Heiden,Appenzell Ausserrhoden,A,Cardiac diseases,9
407,Hirslanden Klinik Am Rosenberg AG,Heiden,Appenzell Ausserrhoden,C,Geriatric Medicine,11
408,Hirslanden Klinik Am Rosenberg AG,Heiden,Appenzell Ausserrhoden,E,Diseases of the abdominal organs,57
409,Hirslanden Klinik Am Rosenberg AG,Heiden,Appenzell Ausserrhoden,F,Vascular Diseases,6
410,Hirslanden Klinik Am Rosenberg AG,Heiden,Appenzell Ausserrhoden,G,Gynecology and obstetrics,93
411,Hirslanden Klinik Am Rosenberg AG,Heiden,Appenzell Ausserrhoden,I,"Diseases of the bones, joints, connective tissues",5088
412,Hirslanden Klinik Am Rosenberg AG,Heiden,Appenzell Ausserrhoden,J,Complex conditions,28
413,Hirslanden Klinik Am Rosenberg AG,Heiden,Appenzell Ausserrhoden,K,Skin disorders,6
414,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,A,Cardiac diseases,4
415,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1
416,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,C,Geriatric Medicine,6
417,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,D,Lung diseases,1
418,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,E,Diseases of the abdominal organs,1725
419,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,F,Vascular Diseases,4
420,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,G,Gynecology and obstetrics,488
421,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,H,Diseases of the urinary tract and male genitalia,268
422,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,I,"Diseases of the bones, joints, connective tissues",3831
423,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,J,Complex conditions,23
424,Hirslanden Klinik Belair,Schaffhausen,Schaffhausen,K,Skin disorders,1
425,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,A,Cardiac diseases,15
426,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,C,Geriatric Medicine,20
427,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,D,Lung diseases,8
428,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,E,Diseases of the abdominal organs,494
429,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,F,Vascular Diseases,4
430,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,G,Gynecology and obstetrics,83
431,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,I,"Diseases of the bones, joints, connective tissues",5397
432,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,J,Complex conditions,49
433,Hirslanden Klinik Birshof,Münchenstein,Bassel-Landschaft,K,Skin disorders,6
434,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,A,Cardiac diseases,894
435,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",369
436,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,C,Geriatric Medicine,103
437,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,D,Lung diseases,1875
438,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,E,Diseases of the abdominal organs,6788
439,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,F,Vascular Diseases,3126
440,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,G,Gynecology and obstetrics,19460
441,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,H,Diseases of the urinary tract and male genitalia,990
442,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,I,"Diseases of the bones, joints, connective tissues",6099
443,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,J,Complex conditions,462
444,Hirslanden Klinik Linde AG,Biel/Bienne,Bern,K,Skin disorders,105
445,Hirslanden Klinik St. Anna AG,Luzern,Luzern,A,Cardiac diseases,24940
446,Hirslanden Klinik St. Anna AG,Luzern,Luzern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",2981
447,Hirslanden Klinik St. Anna AG,Luzern,Luzern,C,Geriatric Medicine,1425
448,Hirslanden Klinik St. Anna AG,Luzern,Luzern,D,Lung diseases,5525
449,Hirslanden Klinik St. Anna AG,Luzern,Luzern,E,Diseases of the abdominal organs,10379
450,Hirslanden Klinik St. Anna AG,Luzern,Luzern,F,Vascular Diseases,3057
451,Hirslanden Klinik St. Anna AG,Luzern,Luzern,G,Gynecology and obstetrics,22165
452,Hirslanden Klinik St. Anna AG,Luzern,Luzern,H,Diseases of the urinary tract and male genitalia,5807
453,Hirslanden Klinik St. Anna AG,Luzern,Luzern,I,"Diseases of the bones, joints, connective tissues",19494
454,Hirslanden Klinik St. Anna AG,Luzern,Luzern,J,Complex conditions,4296
455,Hirslanden Klinik St. Anna AG,Luzern,Luzern,K,Skin disorders,155
456,Hirslanden Klinik St. Anna AG,Luzern,Luzern,L,Highly specialized medicine,2
457,Hirslanden Klinik St. Anna AG,Luzern,Luzern,M,Palliative Medicine,1
458,Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen,Meggen,Luzern,A,Cardiac diseases,1
459,Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen,Meggen,Luzern,E,Diseases of the abdominal organs,598
460,Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen,Meggen,Luzern,F,Vascular Diseases,3
461,Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen,Meggen,Luzern,G,Gynecology and obstetrics,318
462,Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen,Meggen,Luzern,I,"Diseases of the bones, joints, connective tissues",806
463,Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen,Meggen,Luzern,J,Complex conditions,9
464,Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen,Meggen,Luzern,K,Skin disorders,3
465,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,A,Cardiac diseases,488
466,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",160
467,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,C,Geriatric Medicine,182
468,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,D,Lung diseases,1171
469,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,E,Diseases of the abdominal organs,9285
470,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,F,Vascular Diseases,1350
471,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,G,Gynecology and obstetrics,26067
472,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,H,Diseases of the urinary tract and male genitalia,6745
473,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,I,"Diseases of the bones, joints, connective tissues",11448
474,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,J,Complex conditions,873
475,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,K,Skin disorders,84
476,Hirslanden Klinik Stephanshorn,St. Gallen,St. Gallen,L,Highly specialized medicine,4
477,Hirslanden Lausanne SA,Lausanne,Vaud,A,Cardiac diseases,21825
478,Hirslanden Lausanne SA,Lausanne,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",154
479,Hirslanden Lausanne SA,Lausanne,Vaud,C,Geriatric Medicine,143
480,Hirslanden Lausanne SA,Lausanne,Vaud,D,Lung diseases,2289
481,Hirslanden Lausanne SA,Lausanne,Vaud,E,Diseases of the abdominal organs,5224
482,Hirslanden Lausanne SA,Lausanne,Vaud,F,Vascular Diseases,1768
483,Hirslanden Lausanne SA,Lausanne,Vaud,G,Gynecology and obstetrics,17669
484,Hirslanden Lausanne SA,Lausanne,Vaud,H,Diseases of the urinary tract and male genitalia,5384
485,Hirslanden Lausanne SA,Lausanne,Vaud,I,"Diseases of the bones, joints, connective tissues",10120
486,Hirslanden Lausanne SA,Lausanne,Vaud,J,Complex conditions,2075
487,Hirslanden Lausanne SA,Lausanne,Vaud,K,Skin disorders,37
488,Hirslanden Lausanne SA,Lausanne,Vaud,L,Highly specialized medicine,1
489,Hirslanden Lausanne SA,Lausanne,Vaud,M,Palliative Medicine,2
490,Hospiz im Park,Arlesheim,Basel-Landschaft,A,Cardiac diseases,11
491,Hospiz im Park,Arlesheim,Basel-Landschaft,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",25
492,Hospiz im Park,Arlesheim,Basel-Landschaft,C,Geriatric Medicine,13
493,Hospiz im Park,Arlesheim,Basel-Landschaft,D,Lung diseases,36
494,Hospiz im Park,Arlesheim,Basel-Landschaft,E,Diseases of the abdominal organs,20
495,Hospiz im Park,Arlesheim,Basel-Landschaft,G,Gynecology and obstetrics,53
496,Hospiz im Park,Arlesheim,Basel-Landschaft,H,Diseases of the urinary tract and male genitalia,17
497,Hospiz im Park,Arlesheim,Basel-Landschaft,J,Complex conditions,3
498,Hospiz im Park,Arlesheim,Basel-Landschaft,K,Skin disorders,1
499,Hospiz im Park,Arlesheim,Basel-Landschaft,M,Palliative Medicine,281
500,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,A,Cardiac diseases,5832
501,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",2415
502,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,C,Geriatric Medicine,483
503,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,D,Lung diseases,6053
504,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,E,Diseases of the abdominal organs,2547
505,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,F,Vascular Diseases,70
506,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,G,Gynecology and obstetrics,11900
507,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,H,Diseases of the urinary tract and male genitalia,904
508,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,I,"Diseases of the bones, joints, connective tissues",2255
509,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,J,Complex conditions,2484
510,Hôpital Intercantonal de la Broye (HIB),Payerne,Vaud,K,Skin disorders,70
511,Hôpital Jules Daler,Fribourg,Fribourg,A,Cardiac diseases,51
512,Hôpital Jules Daler,Fribourg,Fribourg,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1
513,Hôpital Jules Daler,Fribourg,Fribourg,C,Geriatric Medicine,14
514,Hôpital Jules Daler,Fribourg,Fribourg,D,Lung diseases,72
515,Hôpital Jules Daler,Fribourg,Fribourg,E,Diseases of the abdominal organs,9359
516,Hôpital Jules Daler,Fribourg,Fribourg,F,Vascular Diseases,522
517,Hôpital Jules Daler,Fribourg,Fribourg,G,Gynecology and obstetrics,37844
518,Hôpital Jules Daler,Fribourg,Fribourg,H,Diseases of the urinary tract and male genitalia,7996
519,Hôpital Jules Daler,Fribourg,Fribourg,I,"Diseases of the bones, joints, connective tissues",37
520,Hôpital Jules Daler,Fribourg,Fribourg,J,Complex conditions,99
521,Hôpital Jules Daler,Fribourg,Fribourg,K,Skin disorders,12
522,Hôpital Jules Daler,Fribourg,Fribourg,M,Palliative Medicine,1
523,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,A,Cardiac diseases,16677
524,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",7473
525,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,C,Geriatric Medicine,3302
526,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,D,Lung diseases,16811
527,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,E,Diseases of the abdominal organs,10564
528,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,F,Vascular Diseases,256
529,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,G,Gynecology and obstetrics,42187
530,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,H,Diseases of the urinary tract and male genitalia,4986
531,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,I,"Diseases of the bones, joints, connective tissues",8774
532,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,J,Complex conditions,7750
533,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,K,Skin disorders,147
534,Hôpital Riviera­Chablais Vaud-Valais,Montreux,Vaud,M,Palliative Medicine,4
535,Hôpital de Moutier SA,Moutier,Bern,A,Cardiac diseases,365
536,Hôpital de Moutier SA,Moutier,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",91
537,Hôpital de Moutier SA,Moutier,Bern,C,Geriatric Medicine,90
538,Hôpital de Moutier SA,Moutier,Bern,D,Lung diseases,389
539,Hôpital de Moutier SA,Moutier,Bern,E,Diseases of the abdominal organs,156
540,Hôpital de Moutier SA,Moutier,Bern,F,Vascular Diseases,2
541,Hôpital de Moutier SA,Moutier,Bern,G,Gynecology and obstetrics,104
542,Hôpital de Moutier SA,Moutier,Bern,H,Diseases of the urinary tract and male genitalia,51
543,Hôpital de Moutier SA,Moutier,Bern,I,"Diseases of the bones, joints, connective tissues",198
544,Hôpital de Moutier SA,Moutier,Bern,J,Complex conditions,188
545,Hôpital de Moutier SA,Moutier,Bern,K,Skin disorders,3
546,Hôpital de la Tour,Meyrin,Genève,A,Cardiac diseases,18050
547,Hôpital de la Tour,Meyrin,Genève,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",377
548,Hôpital de la Tour,Meyrin,Genève,C,Geriatric Medicine,171
549,Hôpital de la Tour,Meyrin,Genève,D,Lung diseases,4110
550,Hôpital de la Tour,Meyrin,Genève,E,Diseases of the abdominal organs,5246
551,Hôpital de la Tour,Meyrin,Genève,F,Vascular Diseases,2260
552,Hôpital de la Tour,Meyrin,Genève,G,Gynecology and obstetrics,13450
553,Hôpital de la Tour,Meyrin,Genève,H,Diseases of the urinary tract and male genitalia,1957
554,Hôpital de la Tour,Meyrin,Genève,I,"Diseases of the bones, joints, connective tissues",5399
555,Hôpital de la Tour,Meyrin,Genève,J,Complex conditions,1962
556,Hôpital de la Tour,Meyrin,Genève,K,Skin disorders,15
557,Hôpital du Jura,Delémont,Jura,A,Cardiac diseases,8305
558,Hôpital du Jura,Delémont,Jura,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",4528
559,Hôpital du Jura,Delémont,Jura,C,Geriatric Medicine,1616
560,Hôpital du Jura,Delémont,Jura,D,Lung diseases,5691
561,Hôpital du Jura,Delémont,Jura,E,Diseases of the abdominal organs,3195
562,Hôpital du Jura,Delémont,Jura,F,Vascular Diseases,202
563,Hôpital du Jura,Delémont,Jura,G,Gynecology and obstetrics,12684
564,Hôpital du Jura,Delémont,Jura,H,Diseases of the urinary tract and male genitalia,2345
565,Hôpital du Jura,Delémont,Jura,I,"Diseases of the bones, joints, connective tissues",4443
566,Hôpital du Jura,Delémont,Jura,J,Complex conditions,4526
567,Hôpital du Jura,Delémont,Jura,K,Skin disorders,165
568,Hôpital du Jura,Delémont,Jura,M,Palliative Medicine,22
569,Hôpital du Jura bernois SA,St-Imier,Bern,A,Cardiac diseases,3978
570,Hôpital du Jura bernois SA,St-Imier,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1587
571,Hôpital du Jura bernois SA,St-Imier,Bern,C,Geriatric Medicine,391
572,Hôpital du Jura bernois SA,St-Imier,Bern,D,Lung diseases,4187
573,Hôpital du Jura bernois SA,St-Imier,Bern,E,Diseases of the abdominal organs,2469
574,Hôpital du Jura bernois SA,St-Imier,Bern,F,Vascular Diseases,260
575,Hôpital du Jura bernois SA,St-Imier,Bern,G,Gynecology and obstetrics,10045
576,Hôpital du Jura bernois SA,St-Imier,Bern,H,Diseases of the urinary tract and male genitalia,1370
577,Hôpital du Jura bernois SA,St-Imier,Bern,I,"Diseases of the bones, joints, connective tissues",2378
578,Hôpital du Jura bernois SA,St-Imier,Bern,J,Complex conditions,2266
579,Hôpital du Jura bernois SA,St-Imier,Bern,K,Skin disorders,42
580,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,A,Cardiac diseases,47148
581,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",17397
582,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,C,Geriatric Medicine,7675
583,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,D,Lung diseases,20724
584,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,E,Diseases of the abdominal organs,7664
585,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,F,Vascular Diseases,6938
586,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,G,Gynecology and obstetrics,39036
587,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,H,Diseases of the urinary tract and male genitalia,7229
588,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,I,"Diseases of the bones, joints, connective tissues",13306
589,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,J,Complex conditions,11779
590,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,K,Skin disorders,291
591,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,L,Highly specialized medicine,1
592,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,Sion,Valais,M,Palliative Medicine,711
593,Insel Gruppe AG (nicht-universitär),Bern,Bern,A,Cardiac diseases,24643
594,Insel Gruppe AG (nicht-universitär),Bern,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",15214
595,Insel Gruppe AG (nicht-universitär),Bern,Bern,C,Geriatric Medicine,16004
596,Insel Gruppe AG (nicht-universitär),Bern,Bern,D,Lung diseases,16613
597,Insel Gruppe AG (nicht-universitär),Bern,Bern,E,Diseases of the abdominal organs,11280
598,Insel Gruppe AG (nicht-universitär),Bern,Bern,F,Vascular Diseases,376
599,Insel Gruppe AG (nicht-universitär),Bern,Bern,G,Gynecology and obstetrics,10579
600,Insel Gruppe AG (nicht-universitär),Bern,Bern,H,Diseases of the urinary tract and male genitalia,1296
